costs by tech and input: sector: TRY_ELEC
scenario	region	sector	subsector	input	technology	1990	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2080	2095	Units	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	wind	OM-fixed	wind_offshore	3.766	3.766	3.766	3.766	2.9299	2.34726	1.94241	1.66077	1.46539	1.32897	1.23392	1.16791	1.12214	1.08958	1.06758	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	wind	OM-var	wind	0.0	0.0	0.0	0.0	0.0	0.839864	0.899854	0.959844	1.07983	1.19981	1.31979	1.31979	1.31979	1.31979	1.31979	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	wind	backup-cap-cost	wind	0.304981	0.345479	0.4067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	wind	backup-cap-cost	wind_offshore	0.057136	0.0657279	0.0792347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	wind	capital	wind	3.84169	3.84169	3.43326	5.51787	3.51137	3.35084	3.20036	3.16023	3.11007	3.05991	3.00975	2.97965	2.94955	2.91945	2.88935	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	wind	capital	wind_offshore	12.7916	12.7916	12.7916	12.7916	10.8808	9.39345	8.2493	7.36831	6.68182	6.15551	5.74362	5.42326	5.18299	4.98848	4.83974	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	wind	capital	wind_storage	13.6268	10.4804	20.5603	21.1287	20.2393	19.4688	18.8157	18.2553	17.7767	17.3562	17.005	16.6889	16.4322	16.1983	16.0118	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	wind	regional price adjustment	wind	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	electricity	wind	regional price adjustment	wind_storage	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.0	0.0	1975$/GJ	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	iron and steel	BLASTFUR	non-energy	BLASTFUR	0.0341	0.0341	0.0341	0.0335	0.0329	0.0322	0.0316	0.0309	0.0303	0.0297	0.029	0.0285	0.028	0.0274	0.0269	0.0	0.0	1975$/kg	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	iron and steel	BLASTFUR	non-energy	BLASTFUR CCS	0.0352	0.0352	0.0352	0.0346	0.0339	0.0332	0.0326	0.0319	0.0313	0.0306	0.03	0.0294	0.0289	0.0283	0.0278	0.0	0.0	1975$/kg	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	iron and steel	BLASTFUR	non-energy	BLASTFUR CCS with hydrogen	0.0352	0.0352	0.0352	0.0346	0.0339	0.0332	0.0326	0.0319	0.0313	0.0306	0.03	0.0294	0.0289	0.0283	0.0278	0.0	0.0	1975$/kg	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	iron and steel	BLASTFUR	non-energy	BLASTFUR with hydrogen	0.0341	0.0341	0.0341	0.0335	0.0329	0.0322	0.0316	0.0309	0.0303	0.0297	0.029	0.0285	0.028	0.0274	0.0269	0.0	0.0	1975$/kg	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	iron and steel	BLASTFUR	non-energy	Biomass-based	0.0341	0.0341	0.0341	0.0335	0.0329	0.0322	0.0316	0.0309	0.0303	0.0297	0.029	0.0285	0.028	0.0274	0.0269	0.0	0.0	1975$/kg	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	iron and steel	EAF with DRI	non-energy	EAF with DRI	0.0442	0.0442	0.0442	0.0435	0.0429	0.0422	0.0416	0.0409	0.0403	0.0396	0.0389	0.0382	0.0375	0.0368	0.0361	0.0	0.0	1975$/kg	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	iron and steel	EAF with DRI	non-energy	EAF with DRI CCS	0.0464	0.0464	0.0464	0.0457	0.045	0.0443	0.0437	0.043	0.0423	0.0416	0.0409	0.0401	0.0394	0.0387	0.0379	0.0	0.0	1975$/kg	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	iron and steel	EAF with DRI	non-energy	Hydrogen-based DRI	0.0663	0.0663	0.0663	0.0653	0.0643	0.0633	0.0624	0.0614	0.0604	0.0594	0.0584	0.0574	0.0563	0.0552	0.0541	0.0	0.0	1975$/kg	
India_NZ+CC_v2,date=2023-1-5T21:11:13+06:030	India	iron and steel	EAF with scrap	non-energy	EAF with scrap	0.0248	0.0248	0.0248	0.0243	0.0239	0.0234	0.0229	0.0225	0.022	0.0215	0.0211	0.0207	0.0203	0.0199	0.0195	0.0	0.0	1975$/kg	
